N,Посада,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Ще студент,Рівень англійської,Дата заповнення,User.Agent,exp,current_job_exp,salary,Мова програмування
13,Software Engineer,1,менше 3 місяців,800,200,Київ,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,False,Pre-intermediate (нище середнього),12/06/2017 13:05:54,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,800,Python
69,Software Engineer,1.5,0.5,900,900,Київ,до 10 осіб,Стартап,чоловіча,21,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 13:11:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.5,900,Python
88,Junior Software Engineer,0.5,0.5,600,0,Київ,до 10 осіб,Аутсорсингова,чоловіча,19,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 13:12:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,600,Python
115,Junior Software Engineer,1.5,0.5,685,250,Київ,до 1000 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,False,Intermediate (середній),12/06/2017 13:14:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,0.5,685,Python
144,Junior Software Engineer,1,1,750,250,Київ,до 10 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 13:19:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,750,Python
154,Software Engineer,2,1,1200,0,Дніпро,до 50 осіб,Аутстафінгова,чоловіча,34,Кандидат,False,Advanced (просунутий),12/06/2017 13:20:15,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",2.0,1.0,1200,Python
163,Junior Software Engineer,0.5,0.5,500,0,Вінниця,до 200 осіб,Аутсорсингова,чоловіча,20,Технікум / Коледж,True,Pre-intermediate (нище середнього),12/06/2017 13:21:08,"Mozilla/5.0 (Linux; Android 7.1.2; LG-D802 Build/N2G47E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,500,Python
172,Junior Software Engineer,0.25,0.25,800,0,Київ,до 50 осіб,Продуктова,чоловіча,25,Вища,False,Advanced (просунутий),12/06/2017 13:22:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,800,Python
218,Software Engineer,8,2,2900,150,Львів,до 1000 осіб,Аутсорсингова,чоловіча,26,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:31:50,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,2.0,2900,Python
284,Junior Software Engineer,1,менше 3 місяців,400,400,Харків,до 10 осіб,Стартап,чоловіча,23,Неповна Вища,False,Intermediate (середній),12/06/2017 13:43:33,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,400,Python
303,Senior Software Engineer,10 і більше років,0.5,3500,-300,Київ,до 200 осіб,Продуктова,чоловіча,30,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:46:24,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,3500,Python
333,Junior Software Engineer,1,1,600,300,Львів,до 50 осіб,Аутсорсингова,чоловіча,19,Неповна Вища,True,Pre-intermediate (нище середнього),12/06/2017 13:51:25,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,600,Python
348,Junior Software Engineer,менше 3 місяців,менше 3 місяців,200,0,Київ,до 10 осіб,Аутсорсингова,чоловіча,22,Неповна Вища,True,Pre-intermediate (нище середнього),12/06/2017 13:53:40,"Mozilla/5.0 (Linux; Android 5.1.1; Mi-4c Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.0,0.0,200,Python
374,Senior Software Engineer,7,0.5,3100,1000,Дніпро,до 200 осіб,Аутсорсингова,чоловіча,30,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:58:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",7.0,0.5,3100,Python
388,Software Engineer,4,1.5,1200,0,Інше,до 10 осіб,Стартап,чоловіча,26,Вища,False,Pre-intermediate (нище середнього),12/06/2017 14:01:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.114 Safari/537.36 Vivaldi/1.9.818.50",4.0,1.5,1200,Python
450,Software Engineer,5,3,2000,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,37,Неповна Вища,False,Upper-Intermediate (вище середнього),12/06/2017 14:12:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,3.0,2000,Python
535,Junior Software Engineer,0.5,0.5,400,100,Львів,до 50 осіб,Аутсорсингова,чоловіча,24,Неповна Вища,False,Pre-intermediate (нище середнього),12/06/2017 14:32:52,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.5,0.5,400,Python
566,Software Engineer,2,2,1000,200,Хмельницький,до 10 осіб,Стартап,чоловіча,21,Вища,True,Upper-Intermediate (вище середнього),12/06/2017 14:38:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1000,Python
573,Software Engineer,5,1,1750,0,Віддалено,до 10 осіб,Стартап,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 14:40:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,1.0,1750,Python
605,Software Engineer,7,0.25,3325,325,Київ,до 1000 осіб,Аутстафінгова,чоловіча,28,Вища,False,Intermediate (середній),12/06/2017 14:47:23,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,0.25,3325,Python
670,Software Engineer,3,3,2000,0,Львів,до 50 осіб,Аутсорсингова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 14:58:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",3.0,3.0,2000,Python
680,Software Engineer,3,1,2500,1000,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),12/06/2017 14:59:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,2500,Python
689,Junior Software Engineer,1.5,0.5,1200,500,Віддалено,до 10 осіб,Продуктова,чоловіча,25,Неповна Вища,False,Advanced (просунутий),12/06/2017 15:01:31,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.5,0.5,1200,Python
697,Software Engineer,3,1,2000,500,Львів,до 200 осіб,Аутсорсингова,чоловіча,32,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 15:03:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",3.0,1.0,2000,Python
716,Junior Software Engineer,1.5,1.5,900,300,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,28,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 15:09:08,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,900,Python
729,Software Engineer,2,1,1425,800,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,20,Неповна Вища,True,Advanced (просунутий),12/06/2017 15:14:45,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",2.0,1.0,1425,Python
834,Junior Software Engineer,1.5,0.5,800,200,Київ,до 10 осіб,Продуктова,чоловіча,24,Вища,False,Pre-intermediate (нище середнього),12/06/2017 15:37:49,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,800,Python
856,Software Engineer,2,0.5,1425,125,Одеса,до 200 осіб,Аутстафінгова,чоловіча,27,Середня,False,Intermediate (середній),12/06/2017 15:44:39,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0,2.0,0.5,1425,Python
871,Software Engineer,1.5,менше 3 місяців,1200,500,Київ,до 200 осіб,Аутсорсингова,чоловіча,31,Вища,False,Intermediate (середній),12/06/2017 15:49:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.0,1200,Python
954,Software Engineer,0.5,0.5,850,0,Київ,до 10 осіб,Продуктова,чоловіча,25,Вища,False,Intermediate (середній),12/06/2017 16:17:50,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,850,Python
1004,Junior Software Engineer,1,0.25,800,300,Віддалено,до 50 осіб,Стартап,чоловіча,34,Вища,False,Elementary (початковий),12/06/2017 16:33:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36 OPR/45.0.2552.635",1.0,0.25,800,Python
1022,Software Engineer,2,2,1400,200,Київ,до 1000 осіб,Продуктова,чоловіча,23,Вища,False,Intermediate (середній),12/06/2017 16:39:26,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,2;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/3;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",2.0,2.0,1400,Python
1081,Software Engineer,5,1,2800,500,Житомир,до 50 осіб,Стартап,чоловіча,29,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 17:03:05,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",5.0,1.0,2800,Python
1109,Junior Software Engineer,1,менше 3 місяців,300,0,Київ,до 10 осіб,Аутстафінгова,чоловіча,19,Неповна Вища,False,Intermediate (середній),12/06/2017 17:14:59,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.0,300,Python
1139,Software Engineer,4,0.5,2600,1000,Львів,до 1000 осіб,Аутстафінгова,чоловіча,27,Вища,False,Intermediate (середній),12/06/2017 17:24:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.5,2600,Python
1173,Senior Software Engineer,2,2,1300,800,Львів,до 50 осіб,Інша,чоловіча,20,Неповна Вища,True,Intermediate (середній),12/06/2017 17:38:00,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,2.0,1300,Python
1188,Junior Software Engineer,1.5,1.5,952,550,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),12/06/2017 17:43:03,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,952,Python
1195,Junior Software Engineer,1,0.25,300,0,Львів,до 50 осіб,Стартап,чоловіча,21,Вища,True,Intermediate (середній),12/06/2017 17:45:49,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,300,Python
1364,Senior Software Engineer,10 і більше років,2,1500,1000,Віддалено,до 10 осіб,Стартап,чоловіча,35,Вища,False,Elementary (початковий),12/06/2017 19:10:01,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,2.0,1500,Python
1393,Software Engineer,1.5,1.5,1400,1000,Львів,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),12/06/2017 19:31:39,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,1.5,1400,Python
1490,Senior Software Engineer,4,1,3300,430,Львів,до 1000 осіб,Аутсорсингова,чоловіча,27,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 20:48:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.0,3300,Python
1579,Software Engineer,1,менше 3 місяців,2100,1200,Київ,до 200 осіб,Аутсорсингова,чоловіча,30,Вища,False,Intermediate (середній),12/06/2017 21:34:57,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,2100,Python
1587,Software Engineer,1,менше 3 місяців,700,500,Київ,до 10 осіб,Продуктова,чоловіча,19,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 21:40:02,"Mozilla/5.0 (Linux; Android 6.0; MEIZU_M5 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.0,700,Python
1604,Junior Software Engineer,0.5,0.5,300,100,Івано-Франківськ,до 10 осіб,Аутсорсингова,чоловіча,23,Неповна Вища,True,Pre-intermediate (нище середнього),12/06/2017 21:51:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,300,Python
1615,Junior Software Engineer,0.5,0.5,440,0,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,28,Кандидат,False,Intermediate (середній),12/06/2017 21:59:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,440,Python
1653,Junior Software Engineer,0.5,0.25,500,200,Львів,до 10 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,True,Intermediate (середній),12/06/2017 22:18:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.25,500,Python
1682,Junior Software Engineer,0.5,0.5,800,200,Запоріжжя,до 50 осіб,Аутсорсингова,чоловіча,31,Вища,False,Intermediate (середній),12/06/2017 22:33:08,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/56.0.2924.76 Chrome/56.0.2924.76 Safari/537.36",0.5,0.5,800,Python
1696,Junior Software Engineer,0.5,0.5,600,600,Київ,до 200 осіб,Продуктова,чоловіча,21,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 22:41:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",0.5,0.5,600,Python
1734,Junior Software Engineer,1,1,400,400,Харків,до 10 осіб,Аутсорсингова,чоловіча,21,Вища,True,Pre-intermediate (нище середнього),12/06/2017 22:59:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",1.0,1.0,400,Python
1749,Software Engineer,1.5,1.5,700,200,Київ,до 10 осіб,Стартап,жіноча,23,Вища,False,Intermediate (середній),12/06/2017 23:05:15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",1.5,1.5,700,Python
1915,Junior Software Engineer,0.25,0.25,400,0,Львів,до 200 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,True,Intermediate (середній),13/06/2017 01:53:20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.24 Safari/537.36",0.25,0.25,400,Python
1938,Software Engineer,1,1,850,500,Київ,до 10 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,True,Upper-Intermediate (вище середнього),13/06/2017 07:01:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,850,Python
1955,Senior Software Engineer,5,менше 3 місяців,3900,400,Харків,до 50 осіб,Стартап,чоловіча,26,Вища,False,Advanced (просунутий),13/06/2017 07:50:49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.0,3900,Python
2015,Software Engineer,4,0.5,4100,800,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,26,Вища,False,Advanced (просунутий),13/06/2017 09:05:55,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,4.0,0.5,4100,Python
